"year","country","final_televote_points","final_jury_points","final_place","ranking_televote","ranking_jury","is_winner"
2023,"Norway",216,52,5,3,17,"No"
2023,"Serbia",16,14,24,23,23,"No"
2023,"Portugal",16,43,23,22,18,"No"
2023,"Croatia",112,11,13,7,25,"No"
2023,"Switzerland",31,61,20,18,14,"No"
2023,"Israel",185,177,3,5,2,"No"
2023,"Moldova",76,20,18,9,20,"No"
2023,"Sweden",243,340,1,2,1,"Si"
2023,"Czech Republic",35,94,10,17,10,"No"
2023,"Finland",376,150,2,1,4,"No"
2023,"Armenia",53,69,14,13,12,"No"
2023,"Estonia",22,146,8,19,5,"No"
2023,"Belgium",55,127,7,12,7,"No"
2023,"Cyprus",58,68,12,11,13,"No"
2023,"Poland",81,12,19,8,24,"No"
2023,"Slovenia",45,33,21,16,19,"No"
2023,"Austria",16,104,15,21,8,"No"
2023,"Albania",59,17,22,10,21,"No"
2023,"Lithuania",46,81,11,15,11,"No"
2023,"Australia",21,130,9,20,6,"No"
2023,"France",50,54,16,14,16,"No"
2023,"Spain",5,95,17,26,9,"No"
2023,"Italy",174,176,4,6,3,"No"
2023,"Ukraine",189,54,6,4,15,"No"
2023,"Germany",15,3,26,24,26,"No"
2023,"United Kingdom",9,15,25,25,22,"No"
2022,"Lithuania",93,35,14,11,18,"No"
2022,"Switzerland",0,78,17,25,12,"No"
2022,"Ukraine",439,192,1,1,4,"Si"
2022,"Netherlands",42,129,11,14,8,"No"
2022,"Moldova",239,14,7,2,20,"No"
2022,"Portugal",36,171,9,15,5,"No"
2022,"Iceland",10,10,23,18,23,"No"
2022,"Greece",57,158,8,12,7,"No"
2022,"Norway",146,36,10,7,17,"No"
2022,"Armenia",21,40,20,17,16,"No"
2022,"Finland",26,12,21,16,22,"No"
2022,"Serbia",225,87,5,4,11,"No"
2022,"Azerbaijan",3,103,16,23,10,"No"
2022,"Australia",2,123,15,24,9,"No"
2022,"Estonia",98,43,13,10,15,"No"
2022,"Romania",53,12,18,13,21,"No"
2022,"Poland",105,46,12,9,14,"No"
2022,"Belgium",5,59,19,21,13,"No"
2022,"Sweden",180,258,4,6,2,"No"
2022,"Czech Republic",5,33,22,22,19,"No"
2022,"Italy",110,158,6,8,6,"No"
2022,"Spain",228,231,3,3,3,"No"
2022,"Germany",6,0,25,20,25,"No"
2022,"United Kingdom",183,283,2,5,1,"No"
2022,"France",8,9,24,19,24,"No"
2021,"Lithuania",165,55,8,6,13,"No"
2021,"Russia",100,104,9,7,7,"No"
2021,"Sweden",63,46,14,10,16,"No"
2021,"Cyprus",44,50,16,14,15,"No"
2021,"Norway",60,15,18,12,20,"No"
2021,"Belgium",3,71,19,20,12,"No"
2021,"Israel",20,73,17,19,11,"No"
2021,"Azerbaijan",33,32,20,16,17,"No"
2021,"Ukraine",267,97,5,2,8,"No"
2021,"Malta",47,208,7,13,3,"No"
2021,"Greece",79,91,10,9,9,"No"
2021,"Moldova",62,53,13,11,14,"No"
2021,"Serbia",82,20,15,8,19,"No"
2021,"Albania",35,22,21,15,18,"No"
2021,"Portugal",27,126,12,18,6,"No"
2021,"Bulgaria",30,140,11,17,5,"No"
2021,"Finland",218,83,6,4,10,"No"
2021,"Switzerland",165,267,3,5,1,"No"
2021,"Netherlands",0,11,11,21,21,"No"
2021,"Spain",0,6,24,22,22,"No"
2021,"United Kingdom",0,0,26,24,24,"No"
2021,"Germany",0,3,25,23,23,"No"
2021,"France",251,248,2,3,2,"No"
2021,"Italy",318,206,1,1,4,"Si"
2019,"Cyprus",32,77,13,20,11,"No"
2019,"Slovenia",59,46,15,11,16,"No"
2019,"Czech Republic",7,150,11,24,8,"No"
2019,"Belarus",13,18,24,23,22,"No"
2019,"Serbia",54,35,18,13,19,"No"
2019,"Australia",131,153,9,7,6,"No"
2019,"Iceland",186,46,10,6,15,"No"
2019,"Estonia",48,28,20,16,20,"No"
2019,"Greece",24,50,21,21,14,"No"
2019,"San Marino",65,12,19,10,23,"No"
2019,"Switzerland",212,152,4,5,7,"No"
2019,"Denmark",51,69,12,15,12,"No"
2019,"Sweden",93,241,5,9,2,"No"
2019,"Malta",20,87,14,22,10,"No"
2019,"Russia",244,126,3,4,9,"No"
2019,"Albania",47,43,17,17,17,"No"
2019,"Norway",291,40,6,1,18,"No"
2019,"Netherlands",261,237,1,2,3,"Si"
2019,"North Macedonia",58,247,7,12,1,"No"
2019,"Azerbaijan",100,202,8,8,5,"No"
2019,"Germany",0,24,25,26,21,"No"
2019,"Israel",35,0,23,19,26,"No"
2019,"United Kingdom",3,8,26,25,24,"No"
2019,"France",38,67,16,18,13,"No"
2019,"Italy",253,219,2,3,4,"No"
2019,"Spain",53,1,22,14,25,"No"
2018,"Albania",58,126,11,18,7,"No"
2018,"Czech Republic",215,66,6,4,15,"No"
2018,"Lithuania",91,90,12,10,11,"No"
2018,"Israel",317,212,1,1,3,"Si"
2018,"Estonia",102,143,8,9,6,"No"
2018,"Bulgaria",66,100,14,14,9,"No"
2018,"Austria",71,271,3,13,1,"No"
2018,"Finland",23,23,25,22,24,"No"
2018,"Ireland",62,74,16,16,14,"No"
2018,"Cyprus",253,183,2,2,5,"No"
2018,"Norway",84,60,15,11,16,"No"
2018,"Serbia",75,38,19,12,21,"No"
2018,"Denmark",188,38,9,5,20,"No"
2018,"Moldova",115,94,10,8,10,"No"
2018,"Netherlands",32,89,18,19,13,"No"
2018,"Australia",9,90,20,26,12,"No"
2018,"Hungary",65,28,21,15,22,"No"
2018,"Sweden",21,253,7,23,2,"No"
2018,"Slovenia",23,41,22,21,19,"No"
2018,"Ukraine",119,11,17,7,26,"No"
2018,"Portugal",18,21,26,25,25,"No"
2018,"United Kingdom",25,23,24,20,23,"No"
2018,"Germany",136,204,4,6,4,"No"
2018,"France",59,114,13,17,8,"No"
2018,"Italy",249,59,5,3,17,"No"
2018,"Spain",18,43,23,24,18,"No"
2017,"Sweden",126,218,5,8,3,"No"
2017,"Australia",2,171,9,25,4,"No"
2017,"Belgium",255,108,4,4,9,"No"
2017,"Azerbaijan",42,78,14,11,12,"No"
2017,"Portugal",376,382,1,1,1,"Si"
2017,"Greece",29,48,19,16,18,"No"
2017,"Poland",41,23,22,12,23,"No"
2017,"Moldova",264,110,3,3,8,"No"
2017,"Cyprus",32,36,21,14,20,"No"
2017,"Armenia",21,58,18,18,15,"No"
2017,"Austria",0,93,16,26,11,"No"
2017,"Romania",224,58,7,5,14,"No"
2017,"Netherlands",15,135,11,19,5,"No"
2017,"Hungary",152,48,8,7,17,"No"
2017,"Denmark",8,69,20,21,13,"No"
2017,"Croatia",103,25,13,9,22,"No"
2017,"Norway",29,129,10,15,6,"No"
2017,"Belarus",33,50,17,13,16,"No"
2017,"Bulgaria",337,278,2,2,2,"No"
2017,"Israel",5,34,23,22,21,"No"
2017,"Italy",208,126,6,6,7,"No"
2017,"Spain",5,0,26,23,26,"No"
2017,"United Kingdom",12,99,15,20,10,"No"
2017,"Germany",3,3,25,24,25,"No"
2017,"Ukraine",24,12,24,17,24,"No"
2017,"France",90,45,12,10,19,"No"
2016,"Hungary",56,52,19,14,18,"No"
2016,"Croatia",33,40,23,19,22,"No"
2016,"Netherlands",39,114,11,17,11,"No"
2016,"Armenia",134,115,7,7,10,"No"
2016,"Russia",361,130,3,1,5,"No"
2016,"Czech Republic",0,41,25,26,21,"No"
2016,"Cyprus",53,43,21,15,20,"No"
2016,"Austria",120,31,13,8,24,"No"
2016,"Azerbaijan",73,44,17,12,19,"No"
2016,"Malta",16,137,12,21,4,"No"
2016,"Latvia",63,69,15,13,15,"No"
2016,"Poland",222,7,8,3,25,"No"
2016,"Israel",11,124,14,22,8,"No"
2016,"Serbia",80,35,18,11,23,"No"
2016,"Lithuania",96,104,9,10,12,"No"
2016,"Australia",191,320,2,4,1,"No"
2016,"Bulgaria",180,127,4,5,7,"No"
2016,"Ukraine",323,211,1,2,2,"Si"
2016,"Georgia",24,80,20,20,14,"No"
2016,"Belgium",51,130,10,16,6,"No"
2016,"Italy",34,90,16,18,13,"No"
2016,"Sweden",139,122,5,6,9,"No"
2016,"Germany",10,1,26,24,26,"No"
2016,"France",109,148,6,9,3,"No"
2016,"Spain",10,67,22,23,16,"No"
2016,"United Kingdom",8,54,24,25,17,"No"
2015,"Armenia",15,77,16,21,10,"No"
2015,"Belgium",186,190,4,4,4,"No"
2015,"Greece",29,24,19,16,20,"No"
2015,"Estonia",53,144,7,10,5,"No"
2015,"Serbia",12,86,10,22,9,"No"
2015,"Hungary",29,17,20,17,21,"No"
2015,"Russia",234,286,2,3,2,"No"
2015,"Albania",4,93,17,25,7,"No"
2015,"Romania",21,69,15,20,11,"No"
2015,"Georgia",62,51,11,9,12,"No"
2015,"Lithuania",31,44,18,15,15,"No"
2015,"Montenegro",44,34,13,11,17,"No"
2015,"Norway",163,37,8,6,16,"No"
2015,"Israel",77,102,9,7,6,"No"
2015,"Latvia",249,88,6,2,8,"No"
2015,"Azerbaijan",40,48,12,12,13,"No"
2015,"Sweden",353,272,1,1,3,"Si"
2015,"Cyprus",63,8,22,8,22,"No"
2015,"Slovenia",36,27,14,14,18,"No"
2015,"Poland",2,47,23,26,14,"No"
2015,"France",24,3,25,19,25,"No"
2015,"United Kingdom",12,4,24,23,24,"No"
2015,"Austria",40,0,26,13,26,"No"
2015,"Germany",24,5,27,18,23,"No"
2015,"Spain",6,26,21,24,19,"No"
2015,"Italy",171,356,3,5,1,"No"
2014,"Armenia",113,187,4,6,2,"No"
2014,"Sweden",199,173,3,2,3,"No"
2014,"Iceland",59,38,15,13,14,"No"
2014,"Russia",62,132,7,12,5,"No"
2014,"Azerbaijan",101,14,22,8,23,"No"
2014,"Ukraine",72,112,6,11,7,"No"
2014,"San Marino",16,15,24,24,22,"No"
2014,"Netherlands",NA,NA,2,NA,NA,"No"
2014,"Montenegro",48,27,19,18,18,"No"
2014,"Hungary",138,83,5,3,9,"No"
2014,"Malta",119,12,23,4,24,"No"
2014,"Norway",102,39,8,7,13,"No"
2014,"Poland",23,162,14,22,4,"No"
2014,"Austria",214,306,1,1,1,"Si"
2014,"Finland",114,36,11,5,15,"No"
2014,"Belarus",50,56,16,16,10,"No"
2014,"Switzerland",26,114,13,21,6,"No"
2014,"Greece",45,41,20,19,12,"No"
2014,"Slovenia",21,15,25,23,21,"No"
2014,"Romania",51,103,12,15,8,"No"
2014,"Germany",56,27,18,14,17,"No"
2014,"France",5,1,26,25,25,"No"
2014,"Italy",37,22,21,20,20,"No"
2014,"Spain",83,29,10,10,16,"No"
2014,"Denmark",85,42,9,9,11,"No"
2014,"United Kingdom",49,24,17,17,19,"No"
2013,"Estonia",NA,NA,20,NA,NA,"No"
2013,"Denmark",NA,NA,1,NA,NA,"Si"
2013,"Russia",NA,NA,5,NA,NA,"No"
2013,"Ukraine",NA,NA,3,NA,NA,"No"
2013,"Netherlands",NA,NA,9,NA,NA,"No"
2013,"Lithuania",NA,NA,22,NA,NA,"No"
2013,"Belarus",NA,NA,16,NA,NA,"No"
2013,"Moldova",NA,NA,11,NA,NA,"No"
2013,"Ireland",NA,NA,26,NA,NA,"No"
2013,"Belgium",NA,NA,12,NA,NA,"No"
2013,"Azerbaijan",NA,NA,2,NA,NA,"No"
2013,"Finland",NA,NA,24,NA,NA,"No"
2013,"Malta",NA,NA,8,NA,NA,"No"
2013,"Iceland",NA,NA,17,NA,NA,"No"
2013,"Greece",NA,NA,6,NA,NA,"No"
2013,"Armenia",NA,NA,18,NA,NA,"No"
2013,"Hungary",NA,NA,10,NA,NA,"No"
2013,"Norway",NA,NA,4,NA,NA,"No"
2013,"Georgia",NA,NA,15,NA,NA,"No"
2013,"Romania",NA,NA,13,NA,NA,"No"
2013,"France",NA,NA,23,NA,NA,"No"
2013,"Spain",NA,NA,25,NA,NA,"No"
2013,"Germany",NA,NA,21,NA,NA,"No"
2013,"United Kingdom",NA,NA,19,NA,NA,"No"
2013,"Sweden",NA,NA,14,NA,NA,"No"
2013,"Italy",NA,NA,7,NA,NA,"No"
2012,"Iceland",39,53,20,17,18,"No"
2012,"Greece",89,60,17,9,16,"No"
2012,"Albania",106,157,5,8,3,"No"
2012,"Romania",117,53,12,7,17,"No"
2012,"Cyprus",63,85,16,14,12,"No"
2012,"Denmark",18,51,23,21,19,"No"
2012,"Russia",332,94,2,2,11,"No"
2012,"Hungary",20,30,24,20,21,"No"
2012,"Moldova",75,104,11,12,9,"No"
2012,"Ireland",89,14,19,10,23,"No"
2012,"Serbia",211,173,3,3,2,"No"
2012,"North Macedonia",NA,NA,13,NA,NA,"No"
2012,"Malta",10,70,21,23,15,"No"
2012,"Ukraine",37,125,15,18,7,"No"
2012,"Sweden",343,296,1,1,1,"Si"
2012,"Turkey",176,50,7,4,20,"No"
2012,"Estonia",78,152,6,11,6,"No"
2012,"Norway",16,24,26,22,22,"No"
2012,"Bosnia and Herzegovina",NA,NA,18,NA,NA,"No"
2012,"Lithuania",68,82,14,13,14,"No"
2012,"United Kingdom",36,11,25,19,24,"No"
2012,"France",0,85,22,24,13,"No"
2012,"Italy",56,157,9,15,4,"No"
2012,"Azerbaijan",151,118,4,5,8,"No"
2012,"Spain",45,154,10,16,5,"No"
2012,"Germany",125,98,8,6,10,"No"
2011,"Serbia",89,111,14,12,8,"No"
2011,"Russia",138,25,16,7,24,"No"
2011,"Switzerland",2,53,25,24,22,"No"
2011,"Georgia",138,79,9,6,15,"No"
2011,"Finland",47,75,21,20,16,"No"
2011,"Iceland",60,72,20,18,18,"No"
2011,"Hungary",64,60,22,16,20,"No"
2011,"Lithuania",55,66,19,19,19,"No"
2011,"Azerbaijan",223,182,1,1,2,"Si"
2011,"Greece",176,84,7,3,13,"No"
2011,"Bosnia and Herzegovina",NA,NA,6,NA,NA,"No"
2011,"Austria",25,145,18,23,5,"No"
2011,"Ukraine",168,117,4,4,7,"No"
2011,"Moldova",98,82,12,11,14,"No"
2011,"Sweden",221,106,3,2,9,"No"
2011,"Slovenia",39,160,13,21,4,"No"
2011,"Romania",79,86,17,13,12,"No"
2011,"Estonia",32,74,24,22,17,"No"
2011,"Denmark",61,168,5,17,3,"No"
2011,"Ireland",101,119,8,9,6,"No"
2011,"France",76,90,15,14,11,"No"
2011,"Italy",99,251,2,10,1,"No"
2011,"United Kingdom",166,57,11,5,21,"No"
2011,"Germany",113,104,10,8,10,"No"
2011,"Spain",73,38,23,15,23,"No"
2010,"Moldova",28,33,22,17,22,"No"
2010,"Russia",107,63,11,11,14,"No"
2010,"Serbia",110,37,13,10,20,"No"
2010,"Bosnia and Herzegovina",NA,NA,17,NA,NA,"No"
2010,"Belgium",76,185,6,14,2,"No"
2010,"Albania",35,97,16,16,12,"No"
2010,"Greece",152,110,8,7,11,"No"
2010,"Portugal",24,69,18,19,13,"No"
2010,"Belarus",18,22,24,21,23,"No"
2010,"Iceland",40,57,19,15,17,"No"
2010,"Armenia",166,116,7,4,9,"No"
2010,"Israel",27,134,14,18,5,"No"
2010,"Denmark",174,121,4,3,7,"No"
2010,"Azerbaijan",161,116,5,5,10,"No"
2010,"Ukraine",94,129,10,13,6,"No"
2010,"Romania",155,167,3,6,3,"No"
2010,"Ireland",15,62,23,23,15,"No"
2010,"Cyprus",16,57,21,22,18,"No"
2010,"Georgia",127,160,9,9,4,"No"
2010,"Turkey",177,119,2,2,8,"No"
2010,"Spain",106,43,15,12,19,"No"
2010,"Norway",18,61,20,20,16,"No"
2010,"United Kingdom",NA,NA,25,NA,NA,"No"
2010,"France",151,34,12,8,21,"No"
2010,"Germany",243,187,1,1,1,"Si"
2009,"Sweden",59,27,21,15,22,"No"
2009,"Armenia",111,71,10,9,15,"No"
2009,"Turkey",203,114,4,3,7,"No"
2009,"Israel",15,107,16,25,9,"No"
2009,"Iceland",173,260,2,4,2,"No"
2009,"Romania",64,31,19,14,20,"No"
2009,"Finland",30,12,25,22,24,"No"
2009,"Portugal",45,64,15,18,18,"No"
2009,"Malta",18,87,22,23,13,"No"
2009,"Bosnia and Herzegovina",124,90,9,7,12,"No"
2009,"Croatia",55,58,18,16,19,"No"
2009,"Norway",378,312,1,1,1,"Si"
2009,"Denmark",40,120,13,19,6,"No"
2009,"Azerbaijan",253,112,3,2,8,"No"
2009,"Greece",151,93,7,5,10,"No"
2009,"Lithuania",38,31,23,20,21,"No"
2009,"Moldova",66,93,14,13,11,"No"
2009,"Albania",81,26,17,11,23,"No"
2009,"Ukraine",70,68,12,12,16,"No"
2009,"Estonia",129,124,6,6,5,"No"
2009,"France",54,164,8,17,4,"No"
2009,"Russia",118,67,11,8,17,"No"
2009,"Germany",18,73,20,24,14,"No"
2009,"United Kingdom",105,223,5,10,3,"No"
2009,"Spain",38,9,24,21,25,"No"
