"Source_country","Contestant","Total_points"
"Albania","Armenia",23
"Albania","Australia",34
"Albania","Austria",2
"Albania","Azerbaijan",18
"Albania","Belgium",12
"Albania","Bulgaria",51
"Albania","Croatia",15
"Albania","Cyprus",47
"Albania","Czech Republic",1
"Albania","Estonia",17
"Albania","Finland",14
"Albania","France",50
"Albania","Germany",14
"Albania","Greece",36
"Albania","Hungary",8
"Albania","Ireland",7
"Albania","Israel",20
"Albania","Italy",127
"Albania","Lithuania",4
"Albania","Malta",10
"Albania","Moldova",10
"Albania","Netherlands",19
"Albania","North Macedonia",18
"Albania","Norway",9
"Albania","Poland",6
"Albania","Portugal",15
"Albania","Romania",7
"Albania","Russia",27
"Albania","San Marino",15
"Albania","Serbia",7
"Albania","Slovenia",2
"Albania","Spain",19
"Albania","Sweden",46
"Albania","Switzerland",45
"Albania","Ukraine",27
"Albania","United Kingdom",30
"Armenia","Australia",8
"Armenia","Austria",14
"Armenia","Belarus",1
"Armenia","Belgium",9
"Armenia","Bulgaria",14
"Armenia","Cyprus",63
"Armenia","Czech Republic",18
"Armenia","Estonia",17
"Armenia","Finland",14
"Armenia","France",67
"Armenia","Georgia",18
"Armenia","Germany",5
"Armenia","Greece",16
"Armenia","Hungary",3
"Armenia","Iceland",3
"Armenia","Israel",42
"Armenia","Italy",37
"Armenia","Lithuania",2
"Armenia","Malta",23
"Armenia","Moldova",31
"Armenia","Netherlands",23
"Armenia","North Macedonia",10
"Armenia","Norway",25
"Armenia","Poland",7
"Armenia","Portugal",34
"Armenia","Romania",2
"Armenia","Russia",31
"Armenia","Serbia",6
"Armenia","Spain",29
"Armenia","Sweden",66
"Armenia","Switzerland",17
"Armenia","Ukraine",34
"Armenia","United Kingdom",7
"Australia","Armenia",1
"Australia","Austria",24
"Australia","Azerbaijan",5
"Australia","Belgium",48
"Australia","Bulgaria",33
"Australia","Croatia",6
"Australia","Cyprus",22
"Australia","Czech Republic",15
"Australia","Denmark",23
"Australia","Estonia",17
"Australia","Finland",24
"Australia","France",39
"Australia","Germany",15
"Australia","Iceland",38
"Australia","Ireland",12
"Australia","Israel",33
"Australia","Italy",25
"Australia","Lithuania",29
"Australia","Malta",30
"Australia","Moldova",33
"Australia","Netherlands",22
"Australia","North Macedonia",7
"Australia","Norway",30
"Australia","Poland",5
"Australia","Portugal",22
"Australia","Romania",10
"Australia","Russia",10
"Australia","Serbia",19
"Australia","Slovenia",1
"Australia","Spain",36
"Australia","Sweden",76
"Australia","Switzerland",22
"Australia","Ukraine",44
"Australia","United Kingdom",36
"Austria","Albania",12
"Austria","Armenia",9
"Austria","Australia",18
"Austria","Azerbaijan",5
"Austria","Belarus",7
"Austria","Belgium",18
"Austria","Bulgaria",33
"Austria","Croatia",20
"Austria","Cyprus",3
"Austria","Czech Republic",27
"Austria","Denmark",5
"Austria","Estonia",2
"Austria","Finland",25
"Austria","France",27
"Austria","Germany",28
"Austria","Greece",4
"Austria","Hungary",13
"Austria","Iceland",28
"Austria","Ireland",8
"Austria","Israel",20
"Austria","Italy",79
"Austria","Lithuania",11
"Austria","Malta",16
"Austria","Moldova",10
"Austria","Netherlands",45
"Austria","North Macedonia",12
"Austria","Norway",30
"Austria","Poland",18
"Austria","Portugal",37
"Austria","Romania",10
"Austria","Russia",16
"Austria","Serbia",40
"Austria","Slovenia",13
"Austria","Spain",3
"Austria","Sweden",61
"Austria","Switzerland",44
"Austria","Ukraine",34
"Austria","United Kingdom",21
"Azerbaijan","Albania",27
"Azerbaijan","Australia",18
"Azerbaijan","Belarus",18
"Azerbaijan","Belgium",7
"Azerbaijan","Bulgaria",37
"Azerbaijan","Croatia",1
"Azerbaijan","Cyprus",23
"Azerbaijan","Czech Republic",9
"Azerbaijan","Estonia",4
"Azerbaijan","Finland",16
"Azerbaijan","France",16
"Azerbaijan","Georgia",1
"Azerbaijan","Germany",5
"Azerbaijan","Greece",27
"Azerbaijan","Hungary",26
"Azerbaijan","Israel",63
"Azerbaijan","Italy",57
"Azerbaijan","Lithuania",5
"Azerbaijan","Malta",32
"Azerbaijan","Moldova",40
"Azerbaijan","Netherlands",11
"Azerbaijan","North Macedonia",11
"Azerbaijan","Norway",24
"Azerbaijan","Poland",14
"Azerbaijan","Portugal",25
"Azerbaijan","Romania",5
"Azerbaijan","Russia",66
"Azerbaijan","San Marino",13
"Azerbaijan","Serbia",16
"Azerbaijan","Slovenia",9
"Azerbaijan","Spain",25
"Azerbaijan","Sweden",42
"Azerbaijan","Switzerland",17
"Azerbaijan","Ukraine",82
"Azerbaijan","United Kingdom",20
"Belarus","Albania",7
"Belarus","Armenia",10
"Belarus","Australia",18
"Belarus","Austria",14
"Belarus","Azerbaijan",21
"Belarus","Belgium",10
"Belarus","Bulgaria",30
"Belarus","Cyprus",23
"Belarus","Czech Republic",11
"Belarus","Denmark",13
"Belarus","France",4
"Belarus","Greece",3
"Belarus","Hungary",13
"Belarus","Iceland",7
"Belarus","Israel",9
"Belarus","Italy",14
"Belarus","Latvia",5
"Belarus","Lithuania",15
"Belarus","Malta",17
"Belarus","Moldova",16
"Belarus","Netherlands",21
"Belarus","North Macedonia",10
"Belarus","Norway",37
"Belarus","Poland",8
"Belarus","Portugal",17
"Belarus","Romania",2
"Belarus","Russia",37
"Belarus","San Marino",1
"Belarus","Slovenia",9
"Belarus","Sweden",24
"Belarus","Switzerland",8
"Belarus","Ukraine",30
"Belgium","Albania",5
"Belgium","Armenia",13
"Belgium","Australia",35
"Belgium","Austria",38
"Belgium","Azerbaijan",7
"Belgium","Bulgaria",35
"Belgium","Cyprus",18
"Belgium","Czech Republic",19
"Belgium","Denmark",6
"Belgium","Finland",31
"Belgium","France",64
"Belgium","Georgia",7
"Belgium","Germany",7
"Belgium","Greece",3
"Belgium","Hungary",1
"Belgium","Iceland",21
"Belgium","Ireland",4
"Belgium","Israel",33
"Belgium","Italy",77
"Belgium","Lithuania",7
"Belgium","Malta",7
"Belgium","Moldova",15
"Belgium","Netherlands",74
"Belgium","Norway",23
"Belgium","Poland",29
"Belgium","Portugal",27
"Belgium","Romania",6
"Belgium","Russia",14
"Belgium","Serbia",6
"Belgium","Spain",29
"Belgium","Sweden",62
"Belgium","Switzerland",28
"Belgium","Ukraine",44
"Belgium","United Kingdom",17
"Bosnia and Herzegovina","Armenia",2
"Bosnia and Herzegovina","Australia",13
"Bosnia and Herzegovina","Austria",5
"Bosnia and Herzegovina","Azerbaijan",9
"Bosnia and Herzegovina","Bulgaria",5
"Bosnia and Herzegovina","Croatia",14
"Bosnia and Herzegovina","Czech Republic",6
"Bosnia and Herzegovina","France",11
"Bosnia and Herzegovina","Hungary",1
"Bosnia and Herzegovina","Russia",11
"Bosnia and Herzegovina","Serbia",20
"Bosnia and Herzegovina","Ukraine",19
"Bulgaria","Albania",7
"Bulgaria","Armenia",34
"Bulgaria","Australia",13
"Bulgaria","Austria",32
"Bulgaria","Azerbaijan",13
"Bulgaria","Belarus",2
"Bulgaria","Belgium",20
"Bulgaria","Croatia",1
"Bulgaria","Cyprus",25
"Bulgaria","Czech Republic",11
"Bulgaria","Estonia",2
"Bulgaria","Finland",9
"Bulgaria","France",34
"Bulgaria","Georgia",3
"Bulgaria","Germany",6
"Bulgaria","Greece",39
"Bulgaria","Hungary",11
"Bulgaria","Ireland",1
"Bulgaria","Israel",27
"Bulgaria","Italy",31
"Bulgaria","Lithuania",11
"Bulgaria","Malta",12
"Bulgaria","Moldova",37
"Bulgaria","Netherlands",14
"Bulgaria","Norway",3
"Bulgaria","Poland",13
"Bulgaria","Portugal",17
"Bulgaria","Romania",15
"Bulgaria","Russia",25
"Bulgaria","Serbia",27
"Bulgaria","Spain",24
"Bulgaria","Sweden",8
"Bulgaria","Switzerland",10
"Bulgaria","Ukraine",30
"Bulgaria","United Kingdom",13
"Croatia","Albania",13
"Croatia","Armenia",4
"Croatia","Australia",23
"Croatia","Austria",7
"Croatia","Azerbaijan",2
"Croatia","Belarus",5
"Croatia","Belgium",5
"Croatia","Bulgaria",27
"Croatia","Cyprus",9
"Croatia","Czech Republic",29
"Croatia","Denmark",5
"Croatia","Estonia",6
"Croatia","Finland",23
"Croatia","France",36
"Croatia","Germany",3
"Croatia","Greece",3
"Croatia","Hungary",32
"Croatia","Iceland",17
"Croatia","Ireland",3
"Croatia","Israel",40
"Croatia","Italy",96
"Croatia","Lithuania",24
"Croatia","Malta",3
"Croatia","Moldova",23
"Croatia","Netherlands",21
"Croatia","North Macedonia",17
"Croatia","Norway",22
"Croatia","Poland",4
"Croatia","Portugal",29
"Croatia","Romania",6
"Croatia","Russia",23
"Croatia","San Marino",2
"Croatia","Serbia",92
"Croatia","Slovenia",34
"Croatia","Spain",19
"Croatia","Sweden",39
"Croatia","Switzerland",28
"Croatia","Ukraine",36
"Croatia","United Kingdom",2
"Cyprus","Albania",8
"Cyprus","Armenia",26
"Cyprus","Australia",37
"Cyprus","Austria",12
"Cyprus","Azerbaijan",19
"Cyprus","Belgium",11
"Cyprus","Bulgaria",53
"Cyprus","Croatia",1
"Cyprus","Czech Republic",14
"Cyprus","Estonia",5
"Cyprus","Finland",17
"Cyprus","France",47
"Cyprus","Germany",3
"Cyprus","Greece",94
"Cyprus","Hungary",12
"Cyprus","Israel",41
"Cyprus","Italy",87
"Cyprus","Lithuania",16
"Cyprus","Malta",20
"Cyprus","Moldova",17
"Cyprus","Netherlands",11
"Cyprus","Norway",11
"Cyprus","Poland",7
"Cyprus","Portugal",16
"Cyprus","Romania",8
"Cyprus","Russia",51
"Cyprus","Serbia",11
"Cyprus","Spain",31
"Cyprus","Sweden",56
"Cyprus","Switzerland",12
"Cyprus","Ukraine",44
"Cyprus","United Kingdom",14
"Czech Republic","Albania",6
"Czech Republic","Armenia",10
"Czech Republic","Australia",20
"Czech Republic","Austria",13
"Czech Republic","Azerbaijan",28
"Czech Republic","Belarus",3
"Czech Republic","Belgium",9
"Czech Republic","Bulgaria",28
"Czech Republic","Croatia",8
"Czech Republic","Cyprus",8
"Czech Republic","Denmark",13
"Czech Republic","Estonia",19
"Czech Republic","Finland",9
"Czech Republic","France",19
"Czech Republic","Germany",3
"Czech Republic","Greece",11
"Czech Republic","Hungary",15
"Czech Republic","Iceland",25
"Czech Republic","Ireland",14
"Czech Republic","Israel",25
"Czech Republic","Italy",25
"Czech Republic","Latvia",1
"Czech Republic","Lithuania",5
"Czech Republic","Malta",16
"Czech Republic","Moldova",34
"Czech Republic","Netherlands",25
"Czech Republic","North Macedonia",7
"Czech Republic","Norway",15
"Czech Republic","Poland",15
"Czech Republic","Portugal",37
"Czech Republic","Romania",6
"Czech Republic","Russia",29
"Czech Republic","Serbia",10
"Czech Republic","Slovenia",17
"Czech Republic","Spain",13
"Czech Republic","Sweden",56
"Czech Republic","Switzerland",19
"Czech Republic","Ukraine",57
"Czech Republic","United Kingdom",23
"Czechia","Armenia",10
"Czechia","Australia",7
"Czechia","Croatia",4
"Czechia","Estonia",2
"Czechia","Finland",15
"Czechia","Germany",1
"Czechia","Israel",8
"Czechia","Italy",5
"Czechia","Moldova",5
"Czechia","Norway",7
"Czechia","Slovenia",9
"Czechia","Spain",3
"Czechia","Sweden",16
"Czechia","Ukraine",24
"Denmark","Albania",7
"Denmark","Armenia",1
"Denmark","Australia",46
"Denmark","Austria",33
"Denmark","Azerbaijan",9
"Denmark","Belgium",33
"Denmark","Bulgaria",27
"Denmark","Cyprus",13
"Denmark","Czech Republic",6
"Denmark","Estonia",20
"Denmark","Finland",35
"Denmark","France",13
"Denmark","Germany",32
"Denmark","Greece",12
"Denmark","Hungary",3
"Denmark","Iceland",29
"Denmark","Ireland",4
"Denmark","Israel",6
"Denmark","Italy",12
"Denmark","Lithuania",29
"Denmark","Malta",6
"Denmark","Moldova",17
"Denmark","Netherlands",49
"Denmark","North Macedonia",10
"Denmark","Norway",77
"Denmark","Poland",14
"Denmark","Portugal",23
"Denmark","Romania",4
"Denmark","Russia",7
"Denmark","San Marino",5
"Denmark","Spain",13
"Denmark","Sweden",122
"Denmark","Switzerland",36
"Denmark","Ukraine",40
"Denmark","United Kingdom",19
"Estonia","Armenia",3
"Estonia","Australia",45
"Estonia","Austria",24
"Estonia","Azerbaijan",9
"Estonia","Belarus",3
"Estonia","Belgium",20
"Estonia","Bulgaria",32
"Estonia","Cyprus",19
"Estonia","Czech Republic",13
"Estonia","Denmark",21
"Estonia","Finland",66
"Estonia","France",24
"Estonia","Germany",8
"Estonia","Greece",6
"Estonia","Hungary",12
"Estonia","Iceland",16
"Estonia","Israel",4
"Estonia","Italy",40
"Estonia","Latvia",15
"Estonia","Lithuania",59
"Estonia","Malta",3
"Estonia","Moldova",11
"Estonia","Netherlands",30
"Estonia","Norway",41
"Estonia","Poland",4
"Estonia","Portugal",33
"Estonia","Romania",6
"Estonia","Russia",36
"Estonia","Serbia",4
"Estonia","Slovenia",8
"Estonia","Spain",3
"Estonia","Sweden",93
"Estonia","Switzerland",32
"Estonia","Ukraine",51
"Estonia","United Kingdom",18
"Finland","Armenia",1
"Finland","Australia",57
"Finland","Austria",24
"Finland","Azerbaijan",5
"Finland","Belgium",15
"Finland","Bulgaria",37
"Finland","Croatia",4
"Finland","Cyprus",14
"Finland","Czech Republic",30
"Finland","Denmark",17
"Finland","Estonia",36
"Finland","France",35
"Finland","Germany",6
"Finland","Greece",8
"Finland","Hungary",12
"Finland","Iceland",32
"Finland","Ireland",2
"Finland","Israel",26
"Finland","Italy",57
"Finland","Latvia",2
"Finland","Lithuania",16
"Finland","Malta",7
"Finland","Moldova",18
"Finland","Netherlands",30
"Finland","North Macedonia",7
"Finland","Norway",39
"Finland","Poland",5
"Finland","Portugal",23
"Finland","Romania",3
"Finland","Russia",17
"Finland","Serbia",14
"Finland","Slovenia",14
"Finland","Spain",3
"Finland","Sweden",107
"Finland","Switzerland",35
"Finland","Ukraine",34
"Finland","United Kingdom",20
"France","Armenia",51
"France","Australia",28
"France","Austria",34
"France","Azerbaijan",6
"France","Belgium",26
"France","Bulgaria",24
"France","Cyprus",5
"France","Czech Republic",13
"France","Denmark",7
"France","Estonia",7
"France","Finland",15
"France","Germany",8
"France","Greece",15
"France","Hungary",2
"France","Iceland",13
"France","Ireland",1
"France","Israel",80
"France","Italy",77
"France","Malta",4
"France","Moldova",38
"France","Netherlands",38
"France","North Macedonia",7
"France","Norway",16
"France","Poland",20
"France","Portugal",65
"France","Romania",11
"France","Russia",20
"France","San Marino",4
"France","Serbia",12
"France","Slovenia",2
"France","Spain",28
"France","Sweden",42
"France","Switzerland",20
"France","Ukraine",53
"France","United Kingdom",20
"Georgia","Albania",4
"Georgia","Armenia",57
"Georgia","Australia",11
"Georgia","Austria",14
"Georgia","Azerbaijan",57
"Georgia","Belarus",6
"Georgia","Belgium",22
"Georgia","Bulgaria",26
"Georgia","Croatia",3
"Georgia","Cyprus",37
"Georgia","Czech Republic",12
"Georgia","Denmark",10
"Georgia","Estonia",21
"Georgia","Finland",11
"Georgia","France",22
"Georgia","Germany",8
"Georgia","Greece",16
"Georgia","Hungary",2
"Georgia","Iceland",10
"Georgia","Israel",35
"Georgia","Italy",56
"Georgia","Latvia",13
"Georgia","Lithuania",47
"Georgia","Malta",1
"Georgia","Moldova",16
"Georgia","Netherlands",25
"Georgia","North Macedonia",2
"Georgia","Norway",9
"Georgia","Poland",6
"Georgia","Portugal",35
"Georgia","Russia",20
"Georgia","San Marino",17
"Georgia","Serbia",7
"Georgia","Slovenia",4
"Georgia","Spain",11
"Georgia","Sweden",54
"Georgia","Switzerland",13
"Georgia","Ukraine",75
"Georgia","United Kingdom",17
"Germany","Albania",8
"Germany","Armenia",2
"Germany","Australia",51
"Germany","Austria",26
"Germany","Azerbaijan",6
"Germany","Belgium",17
"Germany","Bulgaria",17
"Germany","Croatia",17
"Germany","Cyprus",16
"Germany","Czech Republic",13
"Germany","Denmark",8
"Germany","Estonia",12
"Germany","Finland",20
"Germany","France",26
"Germany","Georgia",8
"Germany","Hungary",6
"Germany","Iceland",11
"Germany","Ireland",15
"Germany","Israel",23
"Germany","Italy",68
"Germany","Latvia",2
"Germany","Lithuania",23
"Germany","Malta",11
"Germany","Moldova",17
"Germany","Netherlands",43
"Germany","North Macedonia",7
"Germany","Norway",45
"Germany","Poland",24
"Germany","Portugal",22
"Germany","Romania",7
"Germany","Russia",27
"Germany","Serbia",13
"Germany","Slovenia",3
"Germany","Spain",23
"Germany","Sweden",66
"Germany","Switzerland",33
"Germany","Ukraine",51
"Germany","United Kingdom",25
"Greece","Albania",39
"Greece","Armenia",30
"Greece","Australia",30
"Greece","Austria",8
"Greece","Azerbaijan",33
"Greece","Belarus",3
"Greece","Belgium",20
"Greece","Bulgaria",32
"Greece","Cyprus",132
"Greece","Czech Republic",10
"Greece","Estonia",7
"Greece","Finland",16
"Greece","France",37
"Greece","Georgia",5
"Greece","Germany",2
"Greece","Hungary",11
"Greece","Iceland",2
"Greece","Israel",25
"Greece","Italy",64
"Greece","Malta",18
"Greece","Moldova",43
"Greece","Netherlands",10
"Greece","North Macedonia",1
"Greece","Norway",15
"Greece","Poland",13
"Greece","Portugal",26
"Greece","Romania",16
"Greece","Russia",43
"Greece","San Marino",13
"Greece","Serbia",11
"Greece","Slovenia",4
"Greece","Spain",21
"Greece","Sweden",29
"Greece","Switzerland",13
"Greece","Ukraine",24
"Greece","United Kingdom",6
"Hungary","Albania",10
"Hungary","Armenia",3
"Hungary","Australia",29
"Hungary","Austria",17
"Hungary","Azerbaijan",18
"Hungary","Belarus",8
"Hungary","Belgium",8
"Hungary","Bulgaria",26
"Hungary","Croatia",5
"Hungary","Cyprus",14
"Hungary","Czech Republic",22
"Hungary","Denmark",35
"Hungary","France",3
"Hungary","Germany",1
"Hungary","Iceland",12
"Hungary","Ireland",3
"Hungary","Israel",16
"Hungary","Italy",21
"Hungary","Latvia",8
"Hungary","Lithuania",8
"Hungary","Malta",10
"Hungary","Moldova",12
"Hungary","Netherlands",33
"Hungary","North Macedonia",10
"Hungary","Norway",23
"Hungary","Poland",8
"Hungary","Portugal",19
"Hungary","Romania",6
"Hungary","Russia",17
"Hungary","San Marino",6
"Hungary","Slovenia",3
"Hungary","Spain",5
"Hungary","Sweden",20
"Hungary","Switzerland",8
"Hungary","Ukraine",12
"Hungary","United Kingdom",5
"Iceland","Albania",10
"Iceland","Australia",63
"Iceland","Austria",28
"Iceland","Azerbaijan",5
"Iceland","Belgium",29
"Iceland","Bulgaria",18
"Iceland","Croatia",12
"Iceland","Cyprus",3
"Iceland","Czech Republic",32
"Iceland","Denmark",19
"Iceland","Estonia",10
"Iceland","Finland",42
"Iceland","France",34
"Iceland","Germany",16
"Iceland","Greece",4
"Iceland","Hungary",6
"Iceland","Ireland",4
"Iceland","Israel",15
"Iceland","Italy",40
"Iceland","Lithuania",11
"Iceland","Malta",8
"Iceland","Moldova",12
"Iceland","Netherlands",39
"Iceland","North Macedonia",8
"Iceland","Norway",49
"Iceland","Poland",24
"Iceland","Portugal",41
"Iceland","Romania",5
"Iceland","Russia",17
"Iceland","San Marino",1
"Iceland","Serbia",4
"Iceland","Spain",9
"Iceland","Sweden",108
"Iceland","Switzerland",30
"Iceland","Ukraine",35
"Iceland","United Kingdom",21
"Ireland","Albania",2
"Ireland","Armenia",6
"Ireland","Australia",26
"Ireland","Austria",13
"Ireland","Azerbaijan",10
"Ireland","Belgium",45
"Ireland","Bulgaria",42
"Ireland","Croatia",5
"Ireland","Cyprus",17
"Ireland","Czech Republic",19
"Ireland","Denmark",2
"Ireland","Estonia",8
"Ireland","Finland",25
"Ireland","France",31
"Ireland","Germany",21
"Ireland","Hungary",2
"Ireland","Iceland",25
"Ireland","Israel",25
"Ireland","Italy",24
"Ireland","Latvia",8
"Ireland","Lithuania",59
"Ireland","Malta",14
"Ireland","Moldova",20
"Ireland","Netherlands",31
"Ireland","North Macedonia",5
"Ireland","Norway",36
"Ireland","Poland",35
"Ireland","Portugal",27
"Ireland","Romania",22
"Ireland","Russia",16
"Ireland","Serbia",6
"Ireland","Spain",18
"Ireland","Sweden",59
"Ireland","Switzerland",25
"Ireland","Ukraine",40
"Ireland","United Kingdom",43
"Israel","Armenia",11
"Israel","Australia",38
"Israel","Austria",22
"Israel","Azerbaijan",16
"Israel","Belarus",3
"Israel","Belgium",34
"Israel","Bulgaria",33
"Israel","Croatia",9
"Israel","Cyprus",6
"Israel","Czech Republic",21
"Israel","Denmark",7
"Israel","Estonia",21
"Israel","Finland",30
"Israel","France",59
"Israel","Germany",8
"Israel","Hungary",4
"Israel","Iceland",1
"Israel","Italy",58
"Israel","Latvia",5
"Israel","Lithuania",14
"Israel","Malta",14
"Israel","Moldova",29
"Israel","Netherlands",17
"Israel","Norway",39
"Israel","Poland",13
"Israel","Portugal",24
"Israel","Romania",7
"Israel","Russia",39
"Israel","Serbia",7
"Israel","Slovenia",4
"Israel","Spain",20
