Source_country,Contestant,2016,2017,2018,2019,2021,2022,2023,Total_points,Frequency
Albania,Armenia,2,7,0,0,0,4,10,23,4
Albania,Australia,24,4,0,3,0,0,3,34,4
Albania,Austria,0,0,2,0,0,0,0,2,1
Albania,Azerbaijan,0,2,0,11,2,3,0,18,4
Albania,Belgium,0,5,0,0,0,2,5,12,3
Albania,Bulgaria,12,20,14,0,5,0,0,51,4
Albania,Croatia,0,7,0,0,0,0,8,15,2
Albania,Cyprus,0,0,20,7,9,0,11,47,4
Albania,Czech Republic,0,0,1,0,0,0,0,1,1
Albania,Estonia,0,0,4,0,0,5,8,17,3
Albania,Finland,0,0,0,0,6,2,6,14,3
Albania,France,10,6,12,3,16,0,3,50,6
Albania,Germany,0,0,14,0,0,0,0,14,1
Albania,Greece,0,4,0,6,14,12,0,36,4
Albania,Hungary,2,6,0,0,0,0,0,8,2
Albania,Ireland,0,0,7,0,0,0,0,7,1
Albania,Israel,3,0,6,0,0,0,11,20,3
Albania,Italy,18,24,24,13,14,20,14,127,7
Albania,Lithuania,4,0,0,0,0,0,0,4,1
Albania,Malta,2,0,0,0,8,0,0,10,2
Albania,Moldova,0,0,2,0,7,1,0,10,3
Albania,Netherlands,0,0,0,7,0,12,0,19,2
Albania,North Macedonia,0,0,0,18,0,0,0,18,1
Albania,Norway,0,0,0,5,0,0,4,9,2
Albania,Poland,5,0,0,0,0,0,1,6,2
Albania,Portugal,0,14,0,0,0,1,0,15,2
Albania,Romania,0,7,0,0,0,0,0,7,1
Albania,Russia,14,0,0,13,0,0,0,27,2
Albania,San Marino,0,0,0,10,5,0,0,15,2
Albania,Serbia,0,0,3,0,1,3,0,7,3
Albania,Slovenia,0,0,0,0,0,0,2,2,1
Albania,Spain,6,0,0,0,0,12,1,19,3
Albania,Sweden,3,2,4,6,1,8,22,46,7
Albania,Switzerland,0,0,0,14,24,0,7,45,3
Albania,Ukraine,6,0,0,0,4,17,0,27,3
Albania,United Kingdom,5,8,3,0,0,14,0,30,4
Armenia,Australia,5,0,2,1,0,0,0,8,3
Armenia,Austria,4,1,7,0,0,0,2,14,4
Armenia,Belarus,0,0,0,1,0,0,0,1,1
Armenia,Belgium,4,5,0,0,0,0,0,9,2
Armenia,Bulgaria,7,7,0,0,0,0,0,14,2
Armenia,Cyprus,12,19,19,0,0,0,13,63,4
Armenia,Czech Republic,1,0,14,3,0,0,0,18,3
Armenia,Estonia,0,0,2,0,0,15,0,17,2
Armenia,Finland,0,0,0,0,0,0,14,14,1
Armenia,France,19,11,9,4,0,7,17,67,6
Armenia,Georgia,18,0,0,0,0,0,0,18,1
Armenia,Germany,0,0,5,0,0,0,0,5,1
Armenia,Greece,0,11,0,0,0,5,0,16,2
Armenia,Hungary,3,0,0,0,0,0,0,3,1
Armenia,Iceland,0,0,0,3,0,0,0,3,1
Armenia,Israel,0,0,18,0,0,0,24,42,2
Armenia,Italy,0,6,3,15,0,10,3,37,5
Armenia,Lithuania,0,0,0,0,0,2,0,2,1
Armenia,Malta,13,0,0,10,0,0,0,23,2
Armenia,Moldova,0,14,11,0,0,6,0,31,3
Armenia,Netherlands,0,0,3,16,0,4,0,23,3
Armenia,North Macedonia,0,0,0,10,0,0,0,10,1
Armenia,Norway,0,5,7,5,0,0,8,25,4
Armenia,Poland,1,0,0,0,0,0,6,7,2
Armenia,Portugal,0,22,0,0,0,12,0,34,2
Armenia,Romania,0,2,0,0,0,0,0,2,1
Armenia,Russia,14,0,0,17,0,0,0,31,2
Armenia,Serbia,0,0,0,0,0,6,0,6,1
Armenia,Spain,3,0,0,0,0,20,6,29,3
Armenia,Sweden,2,9,12,14,0,12,17,66,6
Armenia,Switzerland,0,0,0,15,0,0,2,17,2
Armenia,Ukraine,10,0,4,0,0,16,4,34,4
Armenia,United Kingdom,0,4,0,2,0,1,0,7,3
Australia,Armenia,0,1,0,0,0,0,0,1,1
Australia,Austria,3,3,5,0,0,0,13,24,4
Australia,Azerbaijan,0,0,0,3,0,2,0,5,2
Australia,Belgium,24,4,0,0,0,5,15,48,4
Australia,Bulgaria,18,13,0,0,2,0,0,33,3
Australia,Croatia,1,1,0,0,0,0,4,6,3
Australia,Cyprus,0,0,7,0,4,0,11,22,3
Australia,Czech Republic,0,0,4,7,0,4,0,15,3
Australia,Denmark,0,13,10,0,0,0,0,23,2
Australia,Estonia,0,0,8,0,0,1,8,17,3
Australia,Finland,0,0,4,0,3,0,17,24,3
Australia,France,13,0,0,13,11,0,2,39,4
Australia,Germany,0,0,12,3,0,0,0,15,2
Australia,Iceland,0,0,0,18,20,0,0,38,2
Australia,Ireland,0,0,12,0,0,0,0,12,1
Australia,Israel,10,0,18,0,0,0,5,33,3
Australia,Italy,0,2,0,5,13,4,1,25,5
Australia,Lithuania,8,0,3,0,6,2,10,29,5
Australia,Malta,6,0,0,4,20,0,0,30,3
Australia,Moldova,0,22,7,0,0,4,0,33,3
Australia,Netherlands,3,4,0,12,3,0,0,22,4
Australia,North Macedonia,0,0,0,7,0,0,0,7,1
Australia,Norway,0,0,1,12,1,10,6,30,5
Australia,Poland,0,2,0,0,0,3,0,5,2
Australia,Portugal,0,14,0,0,0,6,2,22,3
Australia,Romania,0,10,0,0,0,0,0,10,1
Australia,Russia,5,0,0,4,1,0,0,10,3
Australia,Serbia,0,0,0,1,2,16,0,19,3
Australia,Slovenia,0,0,0,0,0,0,1,1,1
Australia,Spain,7,0,7,0,0,18,4,36,4
Australia,Sweden,0,12,12,20,0,15,17,76,5
Australia,Switzerland,0,0,0,7,15,0,0,22,2
Australia,Ukraine,10,0,0,0,15,19,0,44,3
Australia,United Kingdom,8,15,6,0,0,7,0,36,4
Austria,Albania,0,0,9,0,0,0,3,12,2
Austria,Armenia,2,0,0,0,0,6,1,9,3
Austria,Australia,15,0,0,3,0,0,0,18,2
Austria,Azerbaijan,0,0,0,5,0,0,0,5,1
Austria,Belarus,0,7,0,0,0,0,0,7,1
Austria,Belgium,5,10,0,0,0,0,3,18,3
Austria,Bulgaria,5,17,6,0,5,0,0,33,4
Austria,Croatia,6,4,0,0,0,0,10,20,3
Austria,Cyprus,0,0,1,0,0,0,2,3,2
Austria,Czech Republic,4,0,15,3,0,0,5,27,4
Austria,Denmark,0,0,5,0,0,0,0,5,1
Austria,Estonia,0,0,2,0,0,0,0,2,1
Austria,Finland,0,0,0,0,5,0,20,25,2
Austria,France,8,0,0,5,14,0,0,27,3
Austria,Germany,2,0,16,0,2,2,6,28,5
Austria,Greece,0,0,0,0,0,4,0,4,1
Austria,Hungary,0,10,3,0,0,0,0,13,2
Austria,Iceland,0,0,0,6,22,0,0,28,2
Austria,Ireland,0,0,8,0,0,0,0,8,1
Austria,Israel,0,0,19,0,0,0,1,20,2
Austria,Italy,0,12,10,17,14,6,20,79,6
Austria,Lithuania,1,0,0,0,3,0,7,11,3
Austria,Malta,10,0,0,0,6,0,0,16,2
Austria,Moldova,0,3,0,0,0,7,0,10,2
Austria,Netherlands,6,12,1,15,3,8,0,45,6
Austria,North Macedonia,0,0,0,12,0,0,0,12,1
Austria,Norway,0,3,0,9,1,10,7,30,5
Austria,Poland,12,2,0,0,0,4,0,18,3
Austria,Portugal,0,20,0,0,7,10,0,37,3
Austria,Romania,0,10,0,0,0,0,0,10,1
Austria,Russia,11,0,0,5,0,0,0,16,2
Austria,Serbia,4,0,8,6,12,10,0,40,5
Austria,Slovenia,0,0,5,2,0,0,6,13,3
Austria,Spain,0,0,0,0,0,3,0,3,1
Austria,Sweden,15,5,8,6,0,13,14,61,6
Austria,Switzerland,0,0,0,22,15,1,6,44,4
Austria,Ukraine,10,0,0,0,7,12,5,34,4
Austria,United Kingdom,0,1,0,0,0,20,0,21,2
Azerbaijan,Albania,0,0,12,7,0,0,8,27,3
Azerbaijan,Australia,9,0,0,2,0,2,5,18,4
Azerbaijan,Belarus,0,12,0,6,0,0,0,18,2
Azerbaijan,Belgium,0,4,0,0,3,0,0,7,2
Azerbaijan,Bulgaria,16,14,6,0,1,0,0,37,4
Azerbaijan,Croatia,0,1,0,0,0,0,0,1,1
Azerbaijan,Cyprus,0,0,14,3,0,0,6,23,3
Azerbaijan,Czech Republic,0,0,6,0,0,0,3,9,2
Azerbaijan,Estonia,0,0,3,0,0,0,1,4,2
Azerbaijan,Finland,0,0,0,0,5,0,11,16,2
Azerbaijan,France,4,5,0,0,6,1,0,16,4
Azerbaijan,Georgia,1,0,0,0,0,0,0,1,1
Azerbaijan,Germany,0,0,5,0,0,0,0,5,1
Azerbaijan,Greece,0,5,0,6,10,6,0,27,4
Azerbaijan,Hungary,11,7,8,0,0,0,0,26,3
Azerbaijan,Israel,9,5,13,0,12,0,24,63,5
Azerbaijan,Italy,0,6,5,11,10,15,10,57,6
Azerbaijan,Lithuania,5,0,0,0,0,0,0,5,1
Azerbaijan,Malta,11,0,0,14,7,0,0,32,3
Azerbaijan,Moldova,0,20,11,0,9,0,0,40,3
Azerbaijan,Netherlands,0,0,0,7,0,4,0,11,2
Azerbaijan,North Macedonia,0,0,0,11,0,0,0,11,1
Azerbaijan,Norway,0,0,7,1,7,7,2,24,5
Azerbaijan,Poland,5,6,0,0,0,3,0,14,3
Azerbaijan,Portugal,0,16,0,0,2,7,0,25,3
Azerbaijan,Romania,0,5,0,0,0,0,0,5,1
Azerbaijan,Russia,24,0,0,24,18,0,0,66,3
Azerbaijan,San Marino,0,0,0,10,3,0,0,13,2
Azerbaijan,Serbia,0,0,10,0,0,6,0,16,2
Azerbaijan,Slovenia,0,0,0,4,0,0,5,9,2
Azerbaijan,Spain,1,0,0,2,0,15,7,25,4
Azerbaijan,Sweden,0,3,2,0,5,12,20,42,5
Azerbaijan,Switzerland,0,0,0,8,4,0,5,17,3
Azerbaijan,Ukraine,20,7,14,0,14,18,9,82,6
Azerbaijan,United Kingdom,0,0,0,0,0,20,0,20,1
Belarus,Albania,0,0,7,0,0,0,0,7,1
Belarus,Armenia,10,0,0,0,0,0,0,10,1
Belarus,Australia,7,7,2,2,0,0,0,18,4
Belarus,Austria,0,4,10,0,0,0,0,14,2
Belarus,Azerbaijan,10,0,0,11,0,0,0,21,2
Belarus,Belgium,4,6,0,0,0,0,0,10,2
Belarus,Bulgaria,5,24,1,0,0,0,0,30,3
Belarus,Cyprus,0,0,15,8,0,0,0,23,2
Belarus,Czech Republic,0,0,11,0,0,0,0,11,1
Belarus,Denmark,0,3,10,0,0,0,0,13,2
Belarus,France,0,4,0,0,0,0,0,4,1
Belarus,Greece,0,0,0,3,0,0,0,3,1
Belarus,Hungary,3,8,2,0,0,0,0,13,3
Belarus,Iceland,0,0,0,7,0,0,0,7,1
Belarus,Israel,0,1,8,0,0,0,0,9,2
Belarus,Italy,0,0,4,10,0,0,0,14,2
Belarus,Latvia,5,0,0,0,0,0,0,5,1
Belarus,Lithuania,10,0,5,0,0,0,0,15,2
Belarus,Malta,5,0,0,12,0,0,0,17,2
Belarus,Moldova,0,10,6,0,0,0,0,16,2
Belarus,Netherlands,0,5,0,16,0,0,0,21,2
Belarus,North Macedonia,0,0,0,10,0,0,0,10,1
Belarus,Norway,0,11,18,8,0,0,0,37,3
Belarus,Poland,6,2,0,0,0,0,0,8,2
Belarus,Portugal,0,17,0,0,0,0,0,17,1
Belarus,Romania,0,2,0,0,0,0,0,2,1
Belarus,Russia,24,0,0,13,0,0,0,37,2
Belarus,San Marino,0,0,0,1,0,0,0,1,1
Belarus,Slovenia,0,0,4,5,0,0,0,9,2
Belarus,Sweden,10,11,1,2,0,0,0,24,4
Belarus,Switzerland,0,0,0,8,0,0,0,8,1
Belarus,Ukraine,17,1,12,0,0,0,0,30,3
Belgium,Albania,0,0,2,0,0,0,3,5,2
Belgium,Armenia,7,0,0,0,0,0,6,13,2
Belgium,Australia,16,6,0,8,0,1,4,35,5
Belgium,Austria,8,3,15,0,0,0,12,38,4
Belgium,Azerbaijan,0,4,0,0,0,3,0,7,2
Belgium,Bulgaria,11,18,0,0,6,0,0,35,3
Belgium,Cyprus,0,5,11,2,0,0,0,18,3
Belgium,Czech Republic,1,0,8,5,0,2,3,19,5
Belgium,Denmark,0,0,5,1,0,0,0,6,2
Belgium,Finland,0,0,0,0,14,0,17,31,2
Belgium,France,16,4,11,18,12,0,3,64,6
Belgium,Georgia,7,0,0,0,0,0,0,7,1
Belgium,Germany,0,0,7,0,0,0,0,7,1
Belgium,Greece,0,0,0,3,0,0,0,3,1
Belgium,Hungary,0,1,0,0,0,0,0,1,1
Belgium,Iceland,0,0,0,13,8,0,0,21,2
Belgium,Ireland,0,0,4,0,0,0,0,4,1
Belgium,Israel,2,0,16,0,0,0,15,33,3
Belgium,Italy,10,5,6,20,10,12,14,77,7
Belgium,Lithuania,0,0,0,0,7,0,0,7,1
Belgium,Malta,0,0,0,0,7,0,0,7,1
Belgium,Moldova,0,7,0,0,0,8,0,15,2
Belgium,Netherlands,14,10,22,18,0,10,0,74,5
Belgium,Norway,0,7,0,7,1,0,8,23,4
Belgium,Poland,12,4,0,0,0,7,6,29,4
Belgium,Portugal,0,20,0,0,1,6,0,27,3
Belgium,Romania,0,6,0,0,0,0,0,6,1
Belgium,Russia,6,0,0,1,7,0,0,14,3
Belgium,Serbia,0,0,0,0,0,6,0,6,1
Belgium,Spain,0,0,1,6,0,16,6,29,4
Belgium,Sweden,1,14,8,2,7,12,18,62,7
Belgium,Switzerland,0,0,0,12,16,0,0,28,2
Belgium,Ukraine,5,0,0,0,20,18,1,44,4
Belgium,United Kingdom,0,2,0,0,0,15,0,17,2
Bosnia and Herzegovina,Armenia,2,0,0,0,0,0,0,2,1
Bosnia and Herzegovina,Australia,13,0,0,0,0,0,0,13,1
Bosnia and Herzegovina,Austria,5,0,0,0,0,0,0,5,1
Bosnia and Herzegovina,Azerbaijan,9,0,0,0,0,0,0,9,1
Bosnia and Herzegovina,Bulgaria,5,0,0,0,0,0,0,5,1
Bosnia and Herzegovina,Croatia,14,0,0,0,0,0,0,14,1
Bosnia and Herzegovina,Czech Republic,6,0,0,0,0,0,0,6,1
Bosnia and Herzegovina,France,11,0,0,0,0,0,0,11,1
Bosnia and Herzegovina,Hungary,1,0,0,0,0,0,0,1,1
Bosnia and Herzegovina,Russia,11,0,0,0,0,0,0,11,1
Bosnia and Herzegovina,Serbia,20,0,0,0,0,0,0,20,1
Bosnia and Herzegovina,Ukraine,19,0,0,0,0,0,0,19,1
Bulgaria,Albania,0,0,7,0,0,0,0,7,1
Bulgaria,Armenia,20,4,0,0,0,10,0,34,3
Bulgaria,Australia,13,0,0,0,0,0,0,13,1
Bulgaria,Austria,4,12,16,0,0,0,0,32,3
Bulgaria,Azerbaijan,1,5,0,0,4,3,0,13,4
Bulgaria,Belarus,0,2,0,0,0,0,0,2,1
Bulgaria,Belgium,10,4,0,0,0,6,0,20,3
Bulgaria,Croatia,0,1,0,0,0,0,0,1,1
Bulgaria,Cyprus,7,3,15,0,0,0,0,25,3
Bulgaria,Czech Republic,0,0,11,0,0,0,0,11,1
Bulgaria,Estonia,0,0,2,0,0,0,0,2,1
Bulgaria,Finland,0,0,0,0,9,0,0,9,1
Bulgaria,France,0,12,5,0,17,0,0,34,3
Bulgaria,Georgia,3,0,0,0,0,0,0,3,1
Bulgaria,Germany,0,0,6,0,0,0,0,6,1
Bulgaria,Greece,0,11,0,0,10,18,0,39,3
Bulgaria,Hungary,0,6,5,0,0,0,0,11,2
Bulgaria,Ireland,0,0,1,0,0,0,0,1,1
Bulgaria,Israel,2,8,14,0,3,0,0,27,4
Bulgaria,Italy,0,0,6,0,22,3,0,31,3
Bulgaria,Lithuania,1,0,10,0,0,0,0,11,2
Bulgaria,Malta,7,0,0,0,5,0,0,12,2
Bulgaria,Moldova,0,10,8,0,12,7,0,37,4
Bulgaria,Netherlands,2,10,0,0,2,0,0,14,3
Bulgaria,Norway,0,0,0,0,0,3,0,3,1
Bulgaria,Poland,6,7,0,0,0,0,0,13,2
Bulgaria,Portugal,0,7,0,0,6,4,0,17,3
Bulgaria,Romania,0,11,0,0,0,4,0,15,2
Bulgaria,Russia,18,0,0,0,7,0,0,25,2
Bulgaria,Serbia,5,0,7,0,5,10,0,27,4
Bulgaria,Spain,4,0,0,0,4,16,0,24,3
Bulgaria,Sweden,3,2,2,0,1,0,0,8,4
Bulgaria,Switzerland,0,0,0,0,3,7,0,10,2
Bulgaria,Ukraine,10,1,1,0,6,12,0,30,5
Bulgaria,United Kingdom,0,0,0,0,0,13,0,13,1
Croatia,Albania,0,0,5,1,1,0,6,13,4
Croatia,Armenia,4,0,0,0,0,0,0,4,1
Croatia,Australia,17,6,0,0,0,0,0,23,2
Croatia,Austria,6,1,0,0,0,0,0,7,2
Croatia,Azerbaijan,0,0,0,0,2,0,0,2,1
Croatia,Belarus,0,5,0,0,0,0,0,5,1
Croatia,Belgium,0,5,0,0,0,0,0,5,1
Croatia,Bulgaria,1,18,8,0,0,0,0,27,3
Croatia,Cyprus,1,0,8,0,0,0,0,9,2
Croatia,Czech Republic,10,0,9,7,0,0,3,29,4
Croatia,Denmark,0,3,2,0,0,0,0,5,2
Croatia,Estonia,0,0,0,1,0,2,3,6,3
Croatia,Finland,0,0,0,0,6,0,17,23,2
Croatia,France,10,3,6,3,13,1,0,36,6
Croatia,Germany,0,0,3,0,0,0,0,3,1
Croatia,Greece,0,0,0,0,0,3,0,3,1
Croatia,Hungary,8,24,0,0,0,0,0,32,2
Croatia,Iceland,0,0,0,3,14,0,0,17,2
Croatia,Ireland,0,0,3,0,0,0,0,3,1
Croatia,Israel,7,0,16,0,5,0,12,40,4
Croatia,Italy,3,7,10,24,22,10,20,96,7
Croatia,Lithuania,0,0,12,0,2,10,0,24,3
Croatia,Malta,0,0,0,0,3,0,0,3,1
Croatia,Moldova,0,4,8,0,0,8,3,23,4
Croatia,Netherlands,0,9,0,10,0,2,0,21,3
Croatia,North Macedonia,0,0,0,17,0,0,0,17,1
Croatia,Norway,0,2,5,5,0,5,5,22,5
Croatia,Poland,4,0,0,0,0,0,0,4,1
Croatia,Portugal,0,17,0,0,1,10,1,29,4
Croatia,Romania,0,6,0,0,0,0,0,6,1
Croatia,Russia,14,0,0,2,7,0,0,23,3
Croatia,San Marino,0,0,0,2,0,0,0,2,1
Croatia,Serbia,14,0,12,12,19,24,11,92,6
Croatia,Slovenia,0,0,7,10,0,0,17,34,3
Croatia,Spain,0,0,0,0,0,13,6,19,2
Croatia,Sweden,7,6,0,5,0,9,12,39,5
Croatia,Switzerland,0,0,0,14,13,1,0,28,3
Croatia,Ukraine,10,0,0,0,8,18,0,36,3
Croatia,United Kingdom,0,0,2,0,0,0,0,2,1
Cyprus,Albania,0,0,6,2,0,0,0,8,2
Cyprus,Armenia,16,1,0,0,0,1,8,26,4
Cyprus,Australia,15,4,0,2,0,8,8,37,5
Cyprus,Austria,0,0,2,0,0,0,10,12,2
Cyprus,Azerbaijan,2,1,0,6,0,10,0,19,4
Cyprus,Belgium,0,5,0,0,4,2,0,11,3
Cyprus,Bulgaria,12,17,12,0,12,0,0,53,4
Cyprus,Croatia,1,0,0,0,0,0,0,1,1
Cyprus,Czech Republic,0,0,13,0,0,0,1,14,2
Cyprus,Estonia,0,0,5,0,0,0,0,5,1
Cyprus,Finland,0,0,0,0,7,0,10,17,2
Cyprus,France,13,5,4,7,15,0,3,47,6
Cyprus,Germany,0,0,3,0,0,0,0,3,1
Cyprus,Greece,0,24,0,24,24,22,0,94,4
Cyprus,Hungary,8,0,4,0,0,0,0,12,2
Cyprus,Israel,5,0,10,5,2,0,19,41,5
Cyprus,Italy,3,18,15,16,18,6,11,87,7
Cyprus,Lithuania,3,0,6,0,5,2,0,16,4
Cyprus,Malta,6,0,0,3,11,0,0,20,3
Cyprus,Moldova,0,6,10,0,0,0,1,17,3
Cyprus,Netherlands,0,0,0,11,0,0,0,11,1
Cyprus,Norway,0,0,5,1,0,0,5,11,3
Cyprus,Poland,2,0,0,0,0,3,2,7,3
Cyprus,Portugal,0,15,0,0,1,0,0,16,2
Cyprus,Romania,0,4,0,0,0,4,0,8,2
Cyprus,Russia,22,0,0,20,9,0,0,51,3
Cyprus,Serbia,0,0,0,0,0,11,0,11,1
Cyprus,Spain,0,0,7,4,0,14,6,31,4
Cyprus,Sweden,1,11,12,7,0,5,20,56,6
Cyprus,Switzerland,0,0,0,8,2,0,2,12,3
Cyprus,Ukraine,7,0,2,0,6,19,10,44,5
Cyprus,United Kingdom,0,5,0,0,0,9,0,14,2
Czech Republic,Albania,0,0,6,0,0,0,0,6,1
Czech Republic,Armenia,8,2,0,0,0,0,0,10,2
Czech Republic,Australia,1,10,0,8,0,1,0,20,4
Czech Republic,Austria,4,4,5,0,0,0,0,13,3
Czech Republic,Azerbaijan,6,10,0,12,0,0,0,28,3
Czech Republic,Belarus,0,3,0,0,0,0,0,3,1
Czech Republic,Belgium,2,4,0,0,3,0,0,9,3
Czech Republic,Bulgaria,5,14,5,0,4,0,0,28,4
Czech Republic,Croatia,8,0,0,0,0,0,0,8,1
Czech Republic,Cyprus,0,0,8,0,0,0,0,8,1
Czech Republic,Denmark,0,6,7,0,0,0,0,13,2
Czech Republic,Estonia,0,0,5,2,0,12,0,19,3
Czech Republic,Finland,0,0,3,0,5,1,0,9,3
Czech Republic,France,5,0,0,2,12,0,0,19,3
Czech Republic,Germany,0,0,3,0,0,0,0,3,1
Czech Republic,Greece,0,0,0,0,8,3,0,11,2
Czech Republic,Hungary,13,0,2,0,0,0,0,15,2
Czech Republic,Iceland,0,0,0,10,15,0,0,25,2
Czech Republic,Ireland,0,0,14,0,0,0,0,14,1
Czech Republic,Israel,0,0,22,3,0,0,0,25,2
Czech Republic,Italy,0,1,2,10,12,0,0,25,4
Czech Republic,Latvia,1,0,0,0,0,0,0,1,1
Czech Republic,Lithuania,3,0,1,0,1,0,0,5,3
Czech Republic,Malta,6,0,0,3,7,0,0,16,3
Czech Republic,Moldova,0,8,6,0,12,8,0,34,4
Czech Republic,Netherlands,7,8,0,10,0,0,0,25,3
Czech Republic,North Macedonia,0,0,0,7,0,0,0,7,1
Czech Republic,Norway,0,0,0,10,0,5,0,15,2
Czech Republic,Poland,7,1,0,0,0,7,0,15,3
Czech Republic,Portugal,0,20,0,0,12,5,0,37,3
Czech Republic,Romania,0,6,0,0,0,0,0,6,1
Czech Republic,Russia,10,0,0,12,7,0,0,29,3
